id,image,title,salePrice,description,productPrice,skuId,category,size
1,https://www.shoesdemo.com/wp-content/uploads/2022/12/N5-2-450x450.jpg,Shoesdemo 2022 Casual Shoes Men Fashion Sneakers Mesh Lace Up Mixed Colors Shoes Men Casual,13,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",1299,N-1,Men Footwear,"4.5,10"
2,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N55-2.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N55-4.jpg",Shoesdemo Chunky High-top Men’s Sneakers,1500,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",3000,N-2,Men Footwear,5
3,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N5-7.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N5-2-450x450.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N5-6.jpg",Shoesdemo Casual Shoes Men Fashion Sneakers Mesh Lace Up Mixed Colors Shoes Men Casual Sneakers,1389,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",2500,N-3,Men Footwear,"7.5,8"
4,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N6-1.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N6-2.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N6-3.jpg",Shoesdemo High Top Ankle Sport Men Casual Shoes Skateboard Shoes Men Luxury Brand Shoes,439,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",1299,N-4,Men Footwear,"8.5,9.5"
5,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N8-2.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N8-3.jpg",Shoesdemo Summer Sneakers Lightweight Running Shoes High Quality Casual Shoes,10,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",1299,N-5,Men Footwear,"10,11,12"
6,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N9-1.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N9-3.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N9-4.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N9-2.jpg",Shoesdemo High Luminous Light Glowing with USB Cable charging color For Men,1100,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",1299,N-6,Men Footwear,"13,14.5"
7,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N10-7.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N10-8.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N10-6.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N10-5.jpg",Shoesdemo 2022 Casual Shoes Men Fashion Sneakers Mesh Lace Up Mixed Colors Shoes Men Casual,5000,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",10000,N-7,Men Footwear,"4.5,5"
8,https://www.shoesdemo.com/wp-content/uploads/2022/12/N99-1.jpg,Shoesdemo Summer Sneakers Lightweight Running Shoes High Quality Casual Shoes,4050,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",5000,N-8,Men Footwear,"7,7.5"
9,"https://www.shoesdemo.com/wp-content/uploads/2022/12/N98-1.jpg, https://www.shoesdemo.com/wp-content/uploads/2022/12/N98-4.jpg",Shoesdemo Led Shoes for adults USB charger Lighted Up shoes for men unisex Fiber optic material,309,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",1299,N-9,Men Footwear,"10,13"
10,https://www.shoesdemo.com/wp-content/uploads/2022/12/N83-1.jpg,Shoesdemo High Luminous Light Glowing with USB Cable charging color For Men,3000,"Our products are well-known for Fashionable and Stylish designs with Innovative technology. The iconic brand provides the opportunities to explore more on Fashion and Technology.Product Features:Pylon and RB TechnologyThe latest technology ensures Anti Skidding and Ultimate Grip for your Feet. The use of the ultra soft-rebounding formulation provides rebounding power and making your movement more comfortable.Synthetic Leather and Textile for Hi Fashion :Casual mens shoes are manufactured with high quality Synthetic Leather and Textile material that ensures the boundless breathability to your feet.Premium Inbuilt Pylon + RB Sole For Durability :The Premium Pylon + RB Sole material used for constructing this shoes. It gives you a long durability for your casual wears.Perfectly Suits for your Life-Style :This fashionable mens shoes casual suits for your Outdoor Lifestyle. It is a good companion for walking, traveling, parties and office-wear.",4000,N-10,Men Footwear,"11,11.5"
